name,surname,fullname,sex,birth date,id,id_type,phone_number
Giancarlo,Scaggion,Giancarlo Scaggion,male,1995-04-26,NO3656607,Italian passport,00393520759770
Nadira,Agosto,Nadira Agosto,female,1972-03-07,MI2175203,Italian passport,00393701125135
Francesco,Esposito,Francesco Esposito,male,2008-03-19,XQ7655918S,Italian driving license card,00393501767742
Giorgia,Serra,Giorgia Serra,female,1990-09-19,YC5919944W,Italian driving license card,00393783462190
Martino,Pirina,Martino Pirina,male,1954-02-22,JJ47134FF,Italian electronic identity card,00393773817796
Giovanni,Penna,Giovanni Penna,male,1932-03-29,FL57127ME,Italian electronic identity card,00393383372830
Guia,Cipriani,Guia Cipriani,female,1994-04-15,HC22410WD,Italian electronic identity card,00393505238631
Mauro,Sisti,Mauro Sisti,male,1982-12-08,EB5574190T,Italian driving license card,00393445431506
تامر,المنياوي,تامر المنياوي,male,1931-07-01,SR3675241X,Italian driving license card,00393425586228
Catia,Di Carlo,Catia Di Carlo,female,1992-01-09,KN89648NC,Italian electronic identity card,00393499288466
Mohmed,Henedi,Mohmed Henedi,female,1975-06-02,TY9813750Y,Italian driving license card,00393509570614
Dario,Robecchi,Dario Robecchi,male,2005-05-23,DN8039569,Italian passport,00393245295960
Mario,Rossi,Mario Rossi,male,1954-05-28,PX8803963,Italian passport,00393703600295
Latifa,Huiam,Latifa Huiam,female,1996-08-24,YI5499862,Italian passport,00393778542783
Luca,Granchio,Luca Granchio,male,1963-08-01,PJ5936763,Italian passport,00393792344071
Robi,Bussi,Robi Bussi,male,1942-10-26,DJ3263944,Italian passport,00393778497549
Niko,Trapani,Niko Trapani,male,1963-04-27,NM12563UD,Italian electronic identity card,00393703149028
Francesca,Polverini,Francesca Polverini,female,1952-05-27,PB48115CJ,Italian electronic identity card,00393701484977
Roelie,Cordaro,Roelie Cordaro,female,1971-03-07,TG4858195,Italian passport,00393427427950
Alessio,Quintili,Alessio Quintili,male,2020-03-28,AK1165350,Italian passport,00393778105254
Gio,Miele,Gio Miele,female,1978-03-16,VY75234IL,Italian electronic identity card,00393792716198
Benedetta,Arcangeli,Benedetta Arcangeli,female,1969-06-11,AD8312068A,Italian driving license card,00393534138499
Jessica,Conga,Jessica Conga,female,1966-08-17,LH5890841,Italian passport,00393777508200
Giuseppe,Rinaldi,Giuseppe Rinaldi,male,1944-01-29,XE1231470W,Italian driving license card,00393778472003
Salvatore Patellaro,Patellaro,Salvatore Patellaro Patellaro,male,2016-04-22,QJ4382861,Italian passport,00393778812111
Lucia,Lepre,Lucia Lepre,female,2001-05-05,VJ4041522E,Italian driving license card,00393791599809
Dea,Mitova,Dea Mitova,female,1982-12-27,JC27267JT,Italian electronic identity card,00393311168108
Felicita,Borrelli,Felicita Borrelli,female,1948-09-03,SQ23416PI,Italian electronic identity card,00393783223709
Alessandro,Silvagni,Alessandro Silvagni,male,1982-07-09,HL1385838P,Italian driving license card,00393755926950
Giuseppe,Capasso,Giuseppe Capasso,male,1933-09-11,UB8327076M,Italian driving license card,00393701728313
Antonia,Cutraro,Antonia Cutraro,female,1988-11-10,DW9484910P,Italian driving license card,00393701573859
Lina,Musone,Lina Musone,female,1960-11-28,DI9834924F,Italian driving license card,00393710850500
Masoud,Seif,Masoud Seif,male,1975-01-05,AZ48895SM,Italian electronic identity card,00393701731155
Rosario,Rollo,Rosario Rollo,male,2001-11-26,CR6722707J,Italian driving license card,00393783413318
Matteo Fava,Detto Tuffo,Matteo Fava Detto Tuffo,male,2012-05-19,CR9396292V,Italian driving license card,00393500584699
Lucia,Lopriore,Lucia Lopriore,female,1950-04-16,EB9298573,Italian passport,00393793826027
Michele,Abbate,Michele Abbate,male,1943-03-16,SH9362863,Italian passport,00393505123614
Claudio,Serra,Claudio Serra,male,1952-11-12,PY19376QB,Italian electronic identity card,00393710382156
Marceddu,Antonello,Marceddu Antonello,male,1950-04-21,TF4417849C,Italian driving license card,00393534428577
Nicola,Damato,Nicola Damato,male,1991-04-06,ST7509041J,Italian driving license card,00393628191233
Susi,Rossetti,Susi Rossetti,female,1949-12-05,XF43935QW,Italian electronic identity card,00393534246502
Magnificent,Pearls,Magnificent Pearls,female,1993-08-18,EA9961317O,Italian driving license card,00393777382467
Alessandro,Torretta,Alessandro Torretta,male,2015-12-10,NK83829AC,Italian electronic identity card,00393836640876
Francesco,Baldo,Francesco Baldo,male,1959-01-20,AK39344AA,Italian electronic identity card,00393932787143
Renato,Sibillo,Renato Sibillo,male,2000-01-02,HM7169323O,Italian driving license card,00393715648864
Daniel,Irollo,Daniel Irollo,female,2010-09-07,JO8100271W,Italian driving license card,00393501829730
Ivan,Ronzoni,Ivan Ronzoni,male,1946-11-08,NH34637YW,Italian electronic identity card,00393783265925
Mariagiusi,Randazzo,Mariagiusi Randazzo,female,1943-09-25,XV4325591K,Italian driving license card,00393736889896
Gianluca,Moreno,Gianluca Moreno,male,1977-07-29,KR62012VV,Italian electronic identity card,00393714665830
Alberto,Piras,Alberto Piras,male,2020-05-28,MS3362389Q,Italian driving license card,00393202298060
Mara,Ferrandi,Mara Ferrandi,female,1951-03-19,SX71112EN,Italian electronic identity card,00393772897087
Gianmarco,Milardo,Gianmarco Milardo,male,2006-08-17,UQ5613060T,Italian driving license card,00393505795502
Mohamed,Amin,Mohamed Amin,male,1958-01-30,YJ19134XM,Italian electronic identity card,00393778593781
Antonia,Casalino,Antonia Casalino,female,1933-07-11,TQ3839362,Italian passport,00393510932146
Rosaria,Pontecorvo,Rosaria Pontecorvo,female,1979-12-03,OP5301230M,Italian driving license card,00393203287847
Alex,Fontanazzi,Alex Fontanazzi,male,1998-01-13,TL3336733Y,Italian driving license card,00393701549566
Alessandra,Rovati,Alessandra Rovati,female,2000-09-02,SE2201145,Italian passport,00393306768985
Christopher,Garwood,Christopher Garwood,male,1992-07-17,FC3368284,Italian passport,00393778532387
Conny,Montella,Conny Montella,female,1955-02-07,ZL7935649H,Italian driving license card,00393500783849
Betti,Castelnuovo,Betti Castelnuovo,female,2008-05-02,XO5795333B,Italian driving license card,00393205420299
Lucia,Mastrogiacomo,Lucia Mastrogiacomo,female,2017-02-09,CV54088PB,Italian electronic identity card,00393378450989
Michael,Manzoni,Michael Manzoni,male,2013-06-07,ET27657NN,Italian electronic identity card,00393792858135
Giuseppe,Verriello,Giuseppe Verriello,male,1961-07-30,AU4125911A,Italian driving license card,00393791227014
Lorenzo,Guarneri,Lorenzo Guarneri,male,2019-05-24,QX27960RN,Italian electronic identity card,00393779741865
Edward,Trippenthon,Edward Trippenthon,male,1970-03-18,GQ6692605,Italian passport,00393778792953
Kelly,Borgia,Kelly Borgia,female,1965-06-28,EX27621YU,Italian electronic identity card,00393777487895
Concetta,Giglio,Concetta Giglio,female,1961-07-27,KY4186401,Italian passport,00393701524137
Vasile,Andrei,Vasile Andrei,male,1968-08-20,SE15823RE,Italian electronic identity card,00393770181772
Micaela,Pascarella,Micaela Pascarella,female,2014-08-19,EY7633558Z,Italian driving license card,00393515742212
Carla,Maccarrone,Carla Maccarrone,female,1939-04-08,JE78132HJ,Italian electronic identity card,00393778896636
Ovidiu,Sonescu,Ovidiu Sonescu,male,1972-08-06,PQ46165NY,Italian electronic identity card,00393518735907
Simone,Puccia,Simone Puccia,male,2002-10-15,XK2290202W,Italian driving license card,00393777240739
كريم,امير,كريم امير,female,1944-01-24,TT10355JI,Italian electronic identity card,00393755499068
Erando,Beqiraj,Erando Beqiraj,male,1936-03-24,IU3112867L,Italian driving license card,00393736132408
Anna,Kalenik,Anna Kalenik,female,2003-06-28,RD8785942L,Italian driving license card,00393779381423
Pietro,Cini,Pietro Cini,male,1974-07-07,TQ9201887X,Italian driving license card,00393757637770
Paola,Cistara,Paola Cistara,female,1932-12-01,UZ7485495D,Italian driving license card,00393408615524
Rajpreet,Kaur,Rajpreet Kaur,female,1959-10-26,NP15539AD,Italian electronic identity card,00393468003956
Federica,Brocchi,Federica Brocchi,female,1944-06-06,IU6107463N,Italian driving license card,00393783292011
Mirko,Brescianini,Mirko Brescianini,male,1947-06-23,TD1127174V,Italian driving license card,00393405815477
Daniele,Cossu,Daniele Cossu,male,1997-11-20,ER10209WR,Italian electronic identity card,00393516447231
Simone,Goffi,Simone Goffi,male,1986-08-10,XG3020015,Italian passport,00393756239871
Marco,Rossi,Marco Rossi,male,1960-04-08,RF13613NN,Italian electronic identity card,00393518946792
Roberta,Parronchi,Roberta Parronchi,female,1967-09-28,KF46296VL,Italian electronic identity card,00393793860630
Roberto,Novara,Roberto Novara,male,2002-08-02,JB6336407,Italian passport,00393500180438
Adriana,Catalogna,Adriana Catalogna,female,1935-07-25,YK4006487B,Italian driving license card,00393777521340
Irene,Schirru,Irene Schirru,female,2020-09-27,TF9980865T,Italian driving license card,00393361834557
Lorenzo,Pasquini,Lorenzo Pasquini,male,1940-08-19,AQ32840EA,Italian electronic identity card,00393792808471
Tess,Badiango,Tess Badiango,female,1999-11-26,RD3290238,Italian passport,00393792282036
Andrei,Raul,Andrei Raul,male,1938-10-27,ZN8963334A,Italian driving license card,00393773906537
Margherita,Biasiato,Margherita Biasiato,female,1941-11-28,ZJ47479PC,Italian electronic identity card,00393792492071
怀远,徐,怀远 徐,male,2004-12-20,VQ5202800,Italian passport,00393510383811
Brahim,Saoudi,Brahim Saoudi,male,1985-03-16,SM59832PK,Italian electronic identity card,00393714630636
Veronica,Minniti,Veronica Minniti,female,1965-08-16,VE7963938X,Italian driving license card,00393703543994
Maria Grazia,Napoli,Maria Grazia Napoli,female,1987-10-22,YN7787298,Italian passport,00393511611757
Simon,Rider,Simon Rider,male,1941-01-24,PU4497534C,Italian driving license card,00393778165376
Marcello,Immagine Donna,Marcello Immagine Donna,male,1945-06-06,BU90018BP,Italian electronic identity card,00393510355620
Giorgia,Durini,Giorgia Durini,female,1972-01-18,WZ41057BW,Italian electronic identity card,00393777213256
Francesco,Maugeri,Francesco Maugeri,male,1960-01-07,XV7868245T,Italian driving license card,00393783683563
Annamaria,Pacifici,Annamaria Pacifici,female,2010-06-12,VM65830ZK,Italian electronic identity card,00393229391395
Cecile,Cordier,Cecile Cordier,female,1935-05-08,RK58171YD,Italian electronic identity card,00393204866692
Matteo,Petrungaro,Matteo Petrungaro,male,1990-01-18,TN8488933K,Italian driving license card,00393774805939
Luca,Rossini,Luca Rossini,male,2006-10-21,AZ2569845M,Italian driving license card,00393737836407
Alex,Tentor,Alex Tentor,male,1946-03-13,HA2382791D,Italian driving license card,00393757938857
Mimma,Micale,Mimma Micale,female,1958-06-20,AE66468LA,Italian electronic identity card,00393311758331
Luciano,Petreni,Luciano Petreni,male,2020-06-20,UF4596580R,Italian driving license card,00393484373479
Giuseppina,Tinello,Giuseppina Tinello,female,1986-08-18,OI9523734,Italian passport,00393777912692
Kakhramon,Urokboev,Kakhramon Urokboev,male,1975-12-29,QO7123958Q,Italian driving license card,00393777404266
Mario,Rouge,Mario Rouge,male,1965-01-28,AP48472NE,Italian electronic identity card,00393783929842
massimiliano,Carta,massimiliano Carta,male,1931-12-02,TL50956DQ,Italian electronic identity card,00393773532355
Stefano,Yoon,Stefano Yoon,male,1962-05-23,VV7859091,Italian passport,00393520790342
Dalila,Cappuccio,Dalila Cappuccio,female,2014-06-21,PX98933KO,Italian electronic identity card,00393513685350
Vito,Varano,Vito Varano,male,1978-10-15,AK7912403H,Italian driving license card,00393793651082
Emanuela,Brevi,Emanuela Brevi,female,1983-09-06,MZ6682090C,Italian driving license card,00393311934805
Maria,Emanuele,Maria Emanuele,female,2005-05-27,OM7149427,Italian passport,00393311447720
Andrea,Lasalvia,Andrea Lasalvia,male,2016-04-21,EA8689307I,Italian driving license card,00393701477868
Karim,Gomaa,Karim Gomaa,male,1955-01-01,WL3620189Y,Italian driving license card,00393793279116
El Boukhari,Naima,El Boukhari Naima,female,1938-02-22,IR45812QK,Italian electronic identity card,00393791602476
Michele,Peruzzini,Michele Peruzzini,male,1947-12-25,JZ6554078,Italian passport,00393757470241
Carmen,Frigione,Carmen Frigione,female,1989-05-06,YE2331823E,Italian driving license card,00393777813186
Michele,Di Maggio,Michele Di Maggio,male,1965-09-16,FB42057TI,Italian electronic identity card,00393311873353
Stefano,Gemelli,Stefano Gemelli,male,1930-05-21,ET1256876,Italian passport,00393783716423
Ornella,Mincao,Ornella Mincao,female,1963-09-15,AF7697871B,Italian driving license card,00393209594989
Noemi,Buonconsiglio,Noemi Buonconsiglio,female,1961-04-11,YK2385812N,Italian driving license card,00393223542989
Marco,Francioso,Marco Francioso,male,1934-03-20,ET4469594Q,Italian driving license card,00393551938572
Paola,de Maria,Paola de Maria,female,1968-07-26,BO8206355L,Italian driving license card,00393311620049
Ornella,Di Franco,Ornella Di Franco,female,1974-02-07,DM28326OB,Italian electronic identity card,00393770752551
Giovanni,Ponzone,Giovanni Ponzone,male,1990-11-08,KQ6025589S,Italian driving license card,00393757928931
Elena,Hanganu,Elena Hanganu,female,2019-06-21,SN8282246X,Italian driving license card,00393475353705
Giuseppe,Libertella,Giuseppe Libertella,male,2014-08-09,ND2659330,Italian passport,00393710501433
Alan,Terenghi,Alan Terenghi,male,1942-10-15,OV5778926S,Italian driving license card,00393488256951
Guglielmo,Pellegrini,Guglielmo Pellegrini,male,2014-09-11,PR12244WM,Italian electronic identity card,00393710298596
Sasa,Blasi,Sasa Blasi,male,1938-05-19,HA3022142,Italian passport,00393738123880
Om,Waleed,Om Waleed,male,1980-12-16,EN5549110,Italian passport,00393924490007
Maurizio,Sebastianelli,Maurizio Sebastianelli,male,1983-08-09,LP9611077,Italian passport,00393792321006
Waseem,Arshad,Waseem Arshad,male,1942-07-20,RL5164279,Italian passport,00393711866889
Giusy,Rossi,Giusy Rossi,female,1945-08-18,DO4828437,Italian passport,00393791443021
Pool,Cerna,Pool Cerna,male,1959-12-18,PG9576869U,Italian driving license card,00393792348607
Mariangela,Rezzola,Mariangela Rezzola,female,1973-09-12,BL61807ZV,Italian electronic identity card,00393505372851
Carmine,Russo,Carmine Russo,male,1950-11-23,WA18051CM,Italian electronic identity card,00393776273484
Daniela,Mennella,Daniela Mennella,female,2006-08-30,RG2458904T,Italian driving license card,00393511984424
Ion Marian,Inga Chetraru,Ion Marian Inga Chetraru,male,1997-02-23,TR9663245,Italian passport,00393701295476
Emanuele,Cormegna,Emanuele Cormegna,male,1997-01-13,GF58937LI,Italian electronic identity card,00393783240049
Pietro,Contardi,Pietro Contardi,male,1944-12-31,GP2643696,Italian passport,00393770856067
Giuseppe,Caspetta,Giuseppe Caspetta,male,1956-05-07,SN5721593,Italian passport,00393770811407
Noemi,Politi,Noemi Politi,female,1943-01-25,ZB5363455,Italian passport,00393205959824
Giusy,Biasi,Giusy Biasi,female,1966-11-10,LP40246IG,Italian electronic identity card,00393783445770
Angela,Constantinescu,Angela Constantinescu,female,1960-03-10,QH5833225Q,Italian driving license card,00393362171322
Tarek,Hegazy,Tarek Hegazy,male,1937-06-04,RR2733511B,Italian driving license card,00393512275043
Mattia,Romagnoli,Mattia Romagnoli,male,2018-05-17,EJ6982360,Italian passport,00393601193026
Gennaro,Cirillo,Gennaro Cirillo,male,1998-01-31,OI17560UE,Italian electronic identity card,00393201201701
Rachele,Ravanini,Rachele Ravanini,female,1933-10-07,VW2904763T,Italian driving license card,00393778309793
Zoila,Herrera,Zoila Herrera,female,1976-09-07,XQ1724585,Italian passport,00393394053356
Sara,Fontana,Sara Fontana,female,1961-05-21,OF51938XP,Italian electronic identity card,00393755446901
Giovanni,Tabasco,Giovanni Tabasco,male,2006-02-18,XT8858587,Italian passport,00393778966459
Mimmo,Drift,Mimmo Drift,male,1933-05-31,XZ2299173V,Italian driving license card,00393207594699
Carla,Scala,Carla Scala,female,2018-02-21,TW85052PF,Italian electronic identity card,00393516928763
David,Staniscia,David Staniscia,male,1975-05-22,XF89000TC,Italian electronic identity card,00393509966187
Luca,Franzoso,Luca Franzoso,male,1939-02-09,BR50030PB,Italian electronic identity card,00393701546362
Carmelo,Mura,Carmelo Mura,male,2005-05-09,QV7396540,Italian passport,00393778490714
Nunzio,Bruzzo,Nunzio Bruzzo,male,1955-09-28,ZR4314332,Italian passport,00393791353589
Russo,Salvatore,Russo Salvatore,male,1950-08-01,MK7150199X,Italian driving license card,00393311931086
Mattia,Guidi,Mattia Guidi,male,1955-01-30,DR2310624E,Italian driving license card,00393505173219
Mashud,Mashud,Mashud Mashud,male,1977-04-05,LB1212402,Italian passport,00393783886234
Circo,Angelo,Circo Angelo,male,1995-11-08,MY1420057M,Italian driving license card,00393613439113
Fabiola,Desanti,Fabiola Desanti,female,2016-04-20,GV5403464,Italian passport,00393701652317
Nazzareno,Fanfullini Tufi,Nazzareno Fanfullini Tufi,male,1944-10-11,NW9184080,Italian passport,00393757644678
Silvia,Bracchi,Silvia Bracchi,female,1979-05-16,KM1967934,Italian passport,00393604637295
Orlando,Iandolo,Orlando Iandolo,male,1972-05-20,KV8863680,Italian passport,00393409050874
Silvia,Garavello,Silvia Garavello,female,1984-10-26,JN81989LJ,Italian electronic identity card,00393802816185
Nicolino,Griguoli,Nicolino Griguoli,male,2003-06-29,DT4908942D,Italian driving license card,00393773675101
Nicholas,Radaelli,Nicholas Radaelli,male,2008-05-24,VB2990888,Italian passport,00393435278400
Teresa,Brizzi,Teresa Brizzi,male,1987-12-11,BY12174IB,Italian electronic identity card,00393534146533
Matilde,Menchetti,Matilde Menchetti,female,1937-05-26,ZZ75031CN,Italian electronic identity card,00393715235931
Valeria,Fortunato,Valeria Fortunato,female,1987-04-12,VC3924157L,Italian driving license card,00393201670475
Mayte,Delgado,Mayte Delgado,female,1947-01-23,GS3833467,Italian passport,00393710810735
Carmela,Del Prete,Carmela Del Prete,female,2019-07-18,SQ6049192C,Italian driving license card,00393206095473
Roberto,Paternò,Roberto Paternò,male,1996-11-16,AG4166312,Italian passport,00393701329603
Rossibel,Saldaconti Pichardo,Rossibel Saldaconti Pichardo,female,2004-01-11,CU1562211X,Italian driving license card,00393829188245
Cheikhou,Deme,Cheikhou Deme,male,1972-05-17,MK2685426,Italian passport,00393505425616
Claudio,Manelli,Claudio Manelli,male,1963-07-07,ZC6650388,Italian passport,00393511435276
Antonietta,Di Grumo,Antonietta Di Grumo,female,1949-11-29,QB6567723Q,Italian driving license card,00393777946288
Matteo,Alighieri,Matteo Alighieri,male,1952-10-30,EG8808479,Italian passport,00393511186259
Giulio,Laredina,Giulio Laredina,male,1946-01-11,BL1067039,Italian passport,00393710622528
Marco,Pietrobon,Marco Pietrobon,male,1938-10-10,VT2818606,Italian passport,00393808066644
Michele,Palma,Michele Palma,male,2000-04-19,RG7422081Y,Italian driving license card,00393756516446
Irene,Fucci,Irene Fucci,female,1997-01-16,AH59605NO,Italian electronic identity card,00393534649703
Sabino,Delle Foglie,Sabino Delle Foglie,male,1967-07-12,ZQ8628587,Italian passport,00393534461556
Maria Rosa,Lingua,Maria Rosa Lingua,female,1936-06-23,MX5440713,Italian passport,00393518506528
Lavori,Con Il Legno,Lavori Con Il Legno,male,1964-12-09,BV65332LQ,Italian electronic identity card,00393773819237
Francesco,Di Mauro,Francesco Di Mauro,male,1962-11-10,GA2689325,Italian passport,00393793607623
Andrea,Buonaiuto,Andrea Buonaiuto,male,1989-05-26,PI58617HV,Italian electronic identity card,00393757805672
Sonia,Salas,Sonia Salas,female,1995-09-16,TI26414HG,Italian electronic identity card,00393685072091
Gianfranco,Guardia,Gianfranco Guardia,male,1949-07-12,VA9177988M,Italian driving license card,00393792398887
Lucetta,Cataldi,Lucetta Cataldi,female,1977-03-14,CZ73266QV,Italian electronic identity card,00393701877153
Gabriele,Crosta,Gabriele Crosta,male,1950-12-25,CR7880226,Italian passport,00393425648841
Mirko,Allevi,Mirko Allevi,female,1959-05-14,UG2161220,Italian passport,00393517298631
Mario,Margaritondo,Mario Margaritondo,male,1971-06-14,SG70351LE,Italian electronic identity card,00393783296322
Manfredi,Marzotto,Manfredi Marzotto,male,1971-04-10,GP6817599,Italian passport,00393422481662
Sofia,Perra,Sofia Perra,female,1943-11-01,UQ29027HK,Italian electronic identity card,00393534242130
Antonella,Bianca,Antonella Bianca,female,1966-03-23,CM8020164,Italian passport,00393701275271
Giuseppe,Cangemi,Giuseppe Cangemi,male,1984-05-12,RP7331569,Italian passport,00393773713315
Nadia,Albini,Nadia Albini,female,1951-08-14,AC6689275,Italian passport,00393701332458
Adele,Massenzo,Adele Massenzo,female,1945-12-02,WQ9493210X,Italian driving license card,00393206116771
Ahmed,Yassin,Ahmed Yassin,male,1950-12-05,ZS78225ZD,Italian electronic identity card,00393881504655
Davide,Aiello,Davide Aiello,male,2000-05-25,YQ8912893Y,Italian driving license card,00393783141703
Steve,Kraken,Steve Kraken,male,1949-11-18,QP8495649H,Italian driving license card,00393791611131
Michela,Broggi,Michela Broggi,female,1933-11-08,AQ3246932G,Italian driving license card,00393783158519
Marco,Vitaloni,Marco Vitaloni,male,1943-05-02,BK4518638,Italian passport,00393777543183
Gonzalo,Cerquera,Gonzalo Cerquera,male,1938-04-23,ZS2861601,Italian passport,00393776570441
Alexander,Supino,Alexander Supino,male,1949-04-28,HI54251LG,Italian electronic identity card,00393501139903
Manuel,Hernandez,Manuel Hernandez,male,1934-01-19,EM2222159X,Italian driving license card,00393792403916
Palma,Ditroia,Palma Ditroia,female,1994-01-07,ED2244149T,Italian driving license card,00393756129684
Valentina,Marseglia,Valentina Marseglia,female,2006-08-23,YH22646KG,Italian electronic identity card,00393888720524
Filippo,Liberati,Filippo Liberati,male,1934-09-25,LT89406DY,Italian electronic identity card,00393783838271
Cecilia,Le Roux,Cecilia Le Roux,female,1959-10-30,AN16139WX,Italian electronic identity card,00393773976708
Nicola,Vallata,Nicola Vallata,male,1935-05-23,ZG4709304,Italian passport,00393783951408
Francesco,Chierico,Francesco Chierico,male,1973-05-05,TR8636645,Italian passport,00393778348138
Calzature,Esposito,Calzature Esposito,male,2014-07-08,UR8857704,Italian passport,00393344767714
Rosa,Costanzo,Rosa Costanzo,female,1986-01-17,ER1281195V,Italian driving license card,00393778391819
Jacopo,Sassorossi,Jacopo Sassorossi,male,1957-03-04,VN3173861N,Italian driving license card,00393701533931
Anna,Maiocco,Anna Maiocco,female,1997-04-17,GD7551651U,Italian driving license card,00393710226016
Anita,de Gregorio,Anita de Gregorio,female,2002-09-08,MT1615065,Italian passport,00393836410826
Bluffmaster Lbn,Singh,Bluffmaster Lbn Singh,male,1935-02-24,CY1324455M,Italian driving license card,00393223206914
Donato,Camillo,Donato Camillo,male,1960-08-17,XU5493988L,Italian driving license card,00393500128634
Mirco,Barbieri,Mirco Barbieri,male,1997-12-29,QY8900646,Italian passport,00393439254292
Doadis,Macan,Doadis Macan,male,1944-06-05,ZB85793TD,Italian electronic identity card,00393755582777
Monica,Costa,Monica Costa,female,1953-04-01,LH5731053O,Italian driving license card,00393793723577
Zahid,Mahmood,Zahid Mahmood,male,2002-05-07,YU7555774G,Italian driving license card,00393778721668
Stefania,Rizzi,Stefania Rizzi,female,1992-11-21,CI9791202C,Italian driving license card,00393205343744
Anna,Cantatore,Anna Cantatore,female,1949-12-25,YX4944000F,Italian driving license card,00393515874196
Laura,Bertocchi,Laura Bertocchi,female,1970-08-15,WU7824667,Italian passport,00393783713177
Luisa,Spagna,Luisa Spagna,female,1980-12-20,GP8213950N,Italian driving license card,00393757662365
Roberta,Lezzi,Roberta Lezzi,female,1957-11-15,XQ6027345W,Italian driving license card,00393534571875
Mauro,Di Giacinto,Mauro Di Giacinto,male,1933-09-01,PA49766BM,Italian electronic identity card,00393793958910
Floriana,Barale,Floriana Barale,female,1932-11-19,EV3955588D,Italian driving license card,00393778857343
Nicole,Mangone,Nicole Mangone,female,1983-07-31,AF8454983,Italian passport,00393509393747
Armando,Costantino,Armando Costantino,male,1952-08-14,WG9143702,Italian passport,00393793894480
Riccardo,Pieri,Riccardo Pieri,male,1958-06-12,MM6436160N,Italian driving license card,00393311665530
Antonio,Casciello,Antonio Casciello,male,2004-09-27,WB6430738F,Italian driving license card,00393500832002
Grande,Halo,Grande Halo,male,1980-12-12,WE2404565,Italian passport,00393557938079
Nena,Saavedra,Nena Saavedra,female,2016-08-14,ZV1043720G,Italian driving license card,00393500783840
Mattia,Caliceti,Mattia Caliceti,male,2015-04-03,CB2978703,Italian passport,00393203317852
Hameed,Bayoumi,Hameed Bayoumi,male,1943-02-07,DB6348481G,Italian driving license card,00393701563786
Gianni,Battaglioni,Gianni Battaglioni,male,1964-08-29,HM6846136N,Italian driving license card,00393500352458
Alfio,Paviotti,Alfio Paviotti,male,1939-09-05,XE5790953,Italian passport,00393432137081
Ra,Kang,Ra Kang,male,1969-01-08,MW29731GI,Italian electronic identity card,00393755650362
Razvan,Moisa,Razvan Moisa,male,1987-07-26,JF86686HJ,Italian electronic identity card,00393701432916
Laura,Luce,Laura Luce,female,2010-09-09,BD55953MB,Italian electronic identity card,00393710689449
Alessandro,Caldini,Alessandro Caldini,male,2018-05-22,HM91011RO,Italian electronic identity card,00393701109184
Enrico,Arca,Enrico Arca,male,1997-09-11,TW6153711,Italian passport,00393332649609
Nellie Ellanora,Ambia,Nellie Ellanora Ambia,female,1984-10-17,BP7752083F,Italian driving license card,00393701929135
Antonietta,Ciurlia,Antonietta Ciurlia,female,1954-05-13,DR6210169,Italian passport,00393301770849
Anna,Filomena,Anna Filomena,female,1957-01-22,VX4229279U,Italian driving license card,00393701931299
Riccardo,Benaglia,Riccardo Benaglia,male,1963-05-26,KL8728621,Italian passport,00393203160706
Valentina,La Pietra,Valentina La Pietra,female,1963-07-04,UI82077VJ,Italian electronic identity card,00393519727157
Gabriele,Gualandri,Gabriele Gualandri,male,1950-02-04,JW48957LH,Italian electronic identity card,00393501747696
Світлана,Король,Світлана Король,female,1930-11-09,FG1370031,Italian passport,00393505478325
Greta,Saetti,Greta Saetti,female,2001-05-09,SE9466007L,Italian driving license card,00393701392491
Eva,Spinello,Eva Spinello,female,1979-12-17,VO6675870J,Italian driving license card,00393778485010
Federico,Paiola,Federico Paiola,male,1981-12-24,IO4704012,Italian passport,00393421144808
Tatiana,Miroshina,Tatiana Miroshina,female,2015-11-27,GP2313832,Italian passport,00393778524070
Matteo,Santomauro,Matteo Santomauro,male,1983-04-13,LW68862GR,Italian electronic identity card,00393391432812
Gottfried,Strauß,Gottfried Strauß,male,2019-11-14,ZZ40137NW,Italian electronic identity card,00393770973397
GianCarlo,Maraglino,GianCarlo Maraglino,male,1936-05-20,FV2509465G,Italian driving license card,00393778998417
Matilde,Neri,Matilde Neri,female,1945-02-23,YN39612MK,Italian electronic identity card,00393701586927
Antonio,Valentino,Antonio Valentino,male,1961-02-10,ON2519150,Italian passport,00393791877101
EL,Loca,EL Loca,female,1963-10-09,MY72002GD,Italian electronic identity card,00393907920891
Carmine,Musella,Carmine Musella,male,1991-03-03,ME1738006,Italian passport,00393362061477
Serena,Sgherri,Serena Sgherri,female,1961-12-09,DO9066934,Italian passport,00393770370930
Ionut,Oprea,Ionut Oprea,male,1969-03-23,QQ3519693,Italian passport,00393505864523
Wallace,Wally,Wallace Wally,male,1949-02-10,WN3159458W,Italian driving license card,00393606505000
Marco,Pasqualini,Marco Pasqualini,male,1967-03-12,WH57573NM,Italian electronic identity card,00393791999940
Kichu,Palakal,Kichu Palakal,male,1957-02-15,TL53772TY,Italian electronic identity card,00393703282510
Edoardo,Bertani Zanfabro,Edoardo Bertani Zanfabro,male,2010-05-23,SW4521744,Italian passport,00393681029202
Cristian,Ferrante,Cristian Ferrante,male,1985-11-04,GF65423MQ,Italian electronic identity card,00393774923323
Xin,Yang,Xin Yang,female,2017-07-04,EB16376FT,Italian electronic identity card,00393791951259
玉清,孙,玉清 孙,female,2001-02-11,LE7937800W,Italian driving license card,00393701927867
