name,surname,fullname,sex,birth date,id,id_type
Gianni,Oliva,Gianni Oliva,male,1987-09-27,GA5075074N,Italian driving license card
Alessandro,Montanari,Alessandro Montanari,male,1948-09-21,JY70031EY,Italian electronic identity card
Giuseppina,Rizzo,Giuseppina Rizzo,female,1965-09-27,DV1786521,Italian passport
Giovanna,Cirino,Giovanna Cirino,female,1940-01-17,DK1673919X,Italian driving license card
Michele,Gottardo,Michele Gottardo,male,1947-11-04,LI4853202D,Italian driving license card
Cisano,Bike Rent,Cisano Bike Rent,male,2007-08-08,DI6849293J,Italian driving license card
Carmen,Allocca,Carmen Allocca,female,1942-03-01,JA88678IR,Italian electronic identity card
Kili,Maccagno,Kili Maccagno,male,1961-12-02,FD56417JG,Italian electronic identity card
Muharem,Boss,Muharem Boss,male,1930-04-06,QH1508644R,Italian driving license card
Valeria,Giunta,Valeria Giunta,female,1998-08-22,XA1447232,Italian passport
Carmela,Coppola,Carmela Coppola,female,1966-04-19,EB2125451,Italian passport
Antonio,Testa,Antonio Testa,male,1982-09-17,ZJ8646260V,Italian driving license card
Fabian,Astudillo,Fabian Astudillo,male,1934-08-05,OI7759963,Italian passport
Filippo,Leone,Filippo Leone,male,1947-04-21,DP5322053,Italian passport
Tony,Bruna,Tony Bruna,female,1971-11-08,ML7433391H,Italian driving license card
Giuseppe,Danna,Giuseppe Danna,male,2011-02-28,MK1830054B,Italian driving license card
Pesce,Francesco,Pesce Francesco,male,1963-10-26,DN1724116W,Italian driving license card
Giuseppina,Romoli,Giuseppina Romoli,female,1935-09-17,NN52948NU,Italian electronic identity card
Andrea,Colonna,Andrea Colonna,male,2003-10-21,UY3321016,Italian passport
Marco,Siciliano,Marco Siciliano,male,1981-12-19,DD8287999M,Italian driving license card
Antonella,Palminteri,Antonella Palminteri,female,1934-09-08,FW87801XN,Italian electronic identity card
Dennis,Cirella,Dennis Cirella,male,1944-02-11,IK4843794J,Italian driving license card
Diego,Hernandez,Diego Hernandez,male,1976-02-23,LZ8373544Q,Italian driving license card
Ascref,Jerbi,Ascref Jerbi,male,1951-11-26,KM11845PP,Italian electronic identity card
Ernesto,Greci,Ernesto Greci,male,1969-05-07,JU8900978,Italian passport
Angela,Bencivenga,Angela Bencivenga,female,1960-03-22,MM2078915Q,Italian driving license card
Abdou Khoudia,Diop,Abdou Khoudia Diop,male,2004-04-05,PX9995250,Italian passport
Laura,Neffari,Laura Neffari,female,1930-12-10,AY35395VM,Italian electronic identity card
Stanislava,Jantosz,Stanislava Jantosz,female,1966-03-31,FP10431UN,Italian electronic identity card
Serena,Federico,Serena Federico,female,1972-07-04,OB41935OB,Italian electronic identity card
Giusy,Zullo,Giusy Zullo,female,1975-03-12,FS7311487B,Italian driving license card
Antonio Boccia,Ciriello,Antonio Boccia Ciriello,male,1955-05-09,FS1881616O,Italian driving license card
Adriano,De Giampaulis,Adriano De Giampaulis,male,1961-05-03,RK69420RV,Italian electronic identity card
Ludovica,Iuorio,Ludovica Iuorio,female,1981-12-04,IC7328594,Italian passport
Alessandra,Caselino,Alessandra Caselino,female,2014-05-31,XZ3526526G,Italian driving license card
Federica,Torre,Federica Torre,female,1963-07-23,VO31594SJ,Italian electronic identity card
Francesco,Messina,Francesco Messina,male,1967-05-30,YY93580HU,Italian electronic identity card
Giovanni,Casagrande,Giovanni Casagrande,male,1943-02-17,DD4773415,Italian passport
Teresina,Turco,Teresina Turco,female,1996-05-09,CN1748435H,Italian driving license card
Nicholas,Anelli,Nicholas Anelli,male,2011-03-14,PU3871663,Italian passport
Franco,Cacace,Franco Cacace,male,1970-10-28,PW2450134,Italian passport
Basher,Munshi,Basher Munshi,male,1957-08-27,RO6778675,Italian passport
Ros,Ruocco,Ros Ruocco,male,2002-10-27,GS2745557,Italian passport
Anna,Schioppa,Anna Schioppa,female,1954-01-26,EV4347052Z,Italian driving license card
Paola,Zampiva,Paola Zampiva,female,1990-08-17,EU7374823,Italian passport
Francesco,Pitzianti,Francesco Pitzianti,male,1946-10-31,JR2401892W,Italian driving license card
Abdoul,Thiongane,Abdoul Thiongane,male,1953-09-29,TA2263347O,Italian driving license card
Simone,Vallero,Simone Vallero,male,1966-09-16,LT3821409O,Italian driving license card
Stefano,Fongaro,Stefano Fongaro,male,1996-06-21,PM4284049Y,Italian driving license card
Emanuele,LaNeve,Emanuele LaNeve,male,2008-04-29,AM8500407C,Italian driving license card
Daniela,Vezzoli,Daniela Vezzoli,female,1959-09-05,BJ1033251,Italian passport
Sabrina,Ranucci,Sabrina Ranucci,female,2005-04-25,OV8902690,Italian passport
Moris,Beretta,Moris Beretta,male,1955-09-12,DD3812689,Italian passport
Noemi,Ciambrone,Noemi Ciambrone,female,1957-10-10,QL2671963,Italian passport
Marco,Adami,Marco Adami,male,1996-06-19,ES26171DY,Italian electronic identity card
Alfredo,Massimo,Alfredo Massimo,male,1956-01-31,VG37954PI,Italian electronic identity card
Antonio,De Rosa,Antonio De Rosa,male,2000-05-10,AJ7984067A,Italian driving license card
Chiara,Cellini,Chiara Cellini,female,1953-08-27,ZZ6026400A,Italian driving license card
Michelina,Drusotti,Michelina Drusotti,female,2003-04-22,OF4907257X,Italian driving license card
Michela,Bonfigli,Michela Bonfigli,female,1946-08-18,PO96464IF,Italian electronic identity card
Sebastiano,Speranza,Sebastiano Speranza,male,1996-12-22,TZ93256LA,Italian electronic identity card
Mattia,de Donato,Mattia de Donato,male,2019-08-11,IZ2154304,Italian passport
Alessandro,Zamponi,Alessandro Zamponi,male,2014-09-09,NI5444707,Italian passport
Christian,Lio,Christian Lio,male,1948-10-06,BT7179713N,Italian driving license card
Marco,Federiconi,Marco Federiconi,male,1943-10-05,DI8275612,Italian passport
Giovanni,Di Leva,Giovanni Di Leva,male,1988-03-19,NG3616208,Italian passport
Luca,Bergamo,Luca Bergamo,male,1990-04-20,OD9445913,Italian passport
Ilias,Flauto,Ilias Flauto,male,1995-04-10,TS5479809,Italian passport
Maria,Acquaroni,Maria Acquaroni,female,2012-11-29,YM3374075Y,Italian driving license card
Luca,Nania,Luca Nania,male,2006-12-04,LU7083368,Italian passport
Jack,Lima,Jack Lima,female,1956-04-30,XM99862UG,Italian electronic identity card
Antonio,Chianese,Antonio Chianese,male,2013-09-29,CD2006415,Italian passport
Rocco,Sibio,Rocco Sibio,male,1945-03-20,UZ2370468,Italian passport
Grazia,Raimondi,Grazia Raimondi,female,2006-11-26,OC5504694,Italian passport
Rosalba,Pizzitola,Rosalba Pizzitola,female,2020-09-23,GO99506KE,Italian electronic identity card
Rosa,Scerra,Rosa Scerra,female,1994-07-05,ZG8382094,Italian passport
Raffaele,Sonnessa,Raffaele Sonnessa,male,2014-11-17,WX7242675E,Italian driving license card
Patty,Aday,Patty Aday,female,2017-04-20,NX48425JB,Italian electronic identity card
Maria Giovanna,Norcia,Maria Giovanna Norcia,female,1997-10-15,LR6197173,Italian passport
Lincon,Kurera,Lincon Kurera,male,2019-06-03,KX4253499,Italian passport
Cristian,Fontanarosa,Cristian Fontanarosa,male,1956-01-01,IV84312JK,Italian electronic identity card
Agostino,Renzi,Agostino Renzi,male,2017-07-31,UU40176GN,Italian electronic identity card
Silvio,Terminiello,Silvio Terminiello,male,1941-12-06,DM9347371,Italian passport
Angela,Esposito,Angela Esposito,female,1972-07-04,DH3003902,Italian passport
Giada,Bentivegna,Giada Bentivegna,female,1954-03-18,OA6688801,Italian passport
Adriano,Menarini,Adriano Menarini,male,1956-10-15,VN9210033X,Italian driving license card
Roshan Chinthaka,Vithanage,Roshan Chinthaka Vithanage,male,1960-12-30,IQ48008QI,Italian electronic identity card
Rita,D'acquisto,Rita D'acquisto,female,1972-01-04,VT79076EF,Italian electronic identity card
Mauro,Marin,Mauro Marin,male,2002-05-29,II55886QF,Italian electronic identity card
Daniel,Di Maio,Daniel Di Maio,male,1965-06-24,YD1386412,Italian passport
Cosetta,Iacinti,Cosetta Iacinti,female,1956-03-06,AD46902YP,Italian electronic identity card
Francesco,Spizzico,Francesco Spizzico,male,1943-01-08,FB7285265,Italian passport
Amy,Baldonado,Amy Baldonado,female,1973-02-06,QF5353322,Italian passport
Luigi,Guerra,Luigi Guerra,male,2008-06-27,QC98131WT,Italian electronic identity card
Daniela,Cipriani,Daniela Cipriani,female,2000-03-30,PN5666589,Italian passport
Roberto,Munari,Roberto Munari,male,1935-07-03,XN74515TP,Italian electronic identity card
Andrea,Di Palma,Andrea Di Palma,male,1961-08-14,ZO60288UP,Italian electronic identity card
Aguo,Jin,Aguo Jin,male,2009-05-10,LH9866160I,Italian driving license card
Faruk,Khan,Faruk Khan,male,2010-01-12,ER29421XI,Italian electronic identity card
Maurizio,Mantovani,Maurizio Mantovani,male,2014-04-04,WX7580566,Italian passport
Paola,Certo,Paola Certo,female,1949-01-24,DW6607703T,Italian driving license card
Daniele,Savarese,Daniele Savarese,male,1943-05-07,QG73641FL,Italian electronic identity card
Chiara,Pipolo,Chiara Pipolo,female,1954-10-01,NN7635048D,Italian driving license card
Riccardo,Giulianini,Riccardo Giulianini,male,1986-05-31,EU1766741R,Italian driving license card
Globalgas,Globalgas,Globalgas Globalgas,male,1957-11-18,VD36225JN,Italian electronic identity card
Nico,Stab,Nico Stab,female,2020-09-13,NB8998631,Italian passport
Giuseppe,Forzoni,Giuseppe Forzoni,male,1946-01-10,LP8236018,Italian passport
Joanna,Levita,Joanna Levita,female,1942-10-29,WN4559137Z,Italian driving license card
Sara,Mollea,Sara Mollea,female,1938-02-12,WG3476120,Italian passport
Federica,Fedeli,Federica Fedeli,female,2017-11-20,HY1112548I,Italian driving license card
Umberto,Vitali,Umberto Vitali,male,1955-10-26,JE19527FY,Italian electronic identity card
Tommaso,Colella,Tommaso Colella,male,1986-08-17,BT5262125,Italian passport
Angela,Cantore,Angela Cantore,female,1956-02-01,ZF31188ZL,Italian electronic identity card
Bruna,Dinardo,Bruna Dinardo,female,1964-06-16,SF3913224,Italian passport
Laura,Maddaloni,Laura Maddaloni,female,1953-10-20,MQ56613VC,Italian electronic identity card
Jessica,Maiuri,Jessica Maiuri,female,1952-08-21,CV1865828,Italian passport
Elena,Paveggio,Elena Paveggio,female,2002-01-19,EV8977658,Italian passport
Camilla,Zini,Camilla Zini,female,1991-08-20,MT1907599,Italian passport
Vale,Minutolo,Vale Minutolo,female,1982-12-06,IQ4028326,Italian passport
Saverio,Milano,Saverio Milano,male,2005-01-16,TI20401AB,Italian electronic identity card
Agata,Giovanna,Agata Giovanna,female,1978-03-05,TE2913565A,Italian driving license card
Giulia,Rossi,Giulia Rossi,female,2007-10-28,GG52068QY,Italian electronic identity card
Imrul,Chowdhury,Imrul Chowdhury,male,1939-02-18,ZE7590287,Italian passport
Maria,Assunta,Maria Assunta,female,1973-07-20,JP3474257I,Italian driving license card
Chiara,Geseri,Chiara Geseri,female,1997-05-28,PQ9805439,Italian passport
Diego,Russo,Diego Russo,male,1937-08-16,OK20588OJ,Italian electronic identity card
Rina,Kolroshi,Rina Kolroshi,female,2009-07-18,BY6208302B,Italian driving license card
Mylie,Sweeney,Mylie Sweeney,male,1969-06-18,WO7044543,Italian passport
Leandro,Liprandi,Leandro Liprandi,male,1981-09-14,UI5579159R,Italian driving license card
Riccardo,Gargiulo,Riccardo Gargiulo,male,1999-06-17,KX9436645,Italian passport
Wilma,Murru,Wilma Murru,female,1972-05-03,FQ4548977,Italian passport
Cristina,Cabrini,Cristina Cabrini,female,1999-07-14,AU2886215H,Italian driving license card
Giulia,Nardi,Giulia Nardi,female,2000-10-13,PT5174103F,Italian driving license card
Mario Emanuela,Girardi,Mario Emanuela Girardi,male,1946-08-08,CQ4872717Y,Italian driving license card
Gilda,Rusciano,Gilda Rusciano,female,1952-03-17,EP3919077F,Italian driving license card
Mario,Tedeschi,Mario Tedeschi,male,2019-03-08,TI7825498V,Italian driving license card
Massimo,Giambona,Massimo Giambona,male,1936-09-09,JW6821431,Italian passport
Marghi,Franzese,Marghi Franzese,female,1987-07-26,FC42422ZO,Italian electronic identity card
Angelo,Porrello,Angelo Porrello,male,1959-12-21,SX6676485,Italian passport
Stefan,Adina,Stefan Adina,female,2015-02-16,IX1470636N,Italian driving license card
Krzysztof,Lipiński,Krzysztof Lipiński,male,2019-02-28,PY98169ES,Italian electronic identity card
Giorgio,Burzio,Giorgio Burzio,male,1933-05-12,PG1122552,Italian passport
Serena,Salomoni,Serena Salomoni,female,1937-08-23,OG2038657,Italian passport
Giuseppina,Schirru,Giuseppina Schirru,female,2020-02-26,RE3595032D,Italian driving license card
Egon,Bruni,Egon Bruni,male,1958-01-30,HT11507GW,Italian electronic identity card
Enrico,Malatesta,Enrico Malatesta,male,1986-03-06,IV9690820,Italian passport
Sandra,Da Costa,Sandra Da Costa,female,1934-07-05,ON3286757O,Italian driving license card
Attila,Evony,Attila Evony,male,1986-12-18,EJ8213245,Italian passport
Fra,Mazzamati,Fra Mazzamati,male,1938-05-24,LU8108095R,Italian driving license card
Pietro,Russo,Pietro Russo,male,1962-11-11,DG4919850H,Italian driving license card
Milena,Clemente,Milena Clemente,female,2005-02-05,EG1422928,Italian passport
Ciromilùmax,EspositoEbro,Ciromilùmax EspositoEbro,female,1930-10-29,JG3052235,Italian passport
Fabrizio,Coccetti,Fabrizio Coccetti,male,1960-07-25,UB2557734H,Italian driving license card
Antonio,De Rosa,Antonio De Rosa,male,1990-07-09,VT6206680,Italian passport
Patrizia,Vaccaro,Patrizia Vaccaro,female,1941-03-30,GN9773045,Italian passport
Rudin,Jaya,Rudin Jaya,male,1990-04-18,NS8565966B,Italian driving license card
Costantinopoli,Chiara,Costantinopoli Chiara,female,2001-11-30,RT47610AK,Italian electronic identity card
Genny,Assante,Genny Assante,male,2012-05-24,UG3439660Y,Italian driving license card
Giorgia,Robecchi,Giorgia Robecchi,female,1995-04-22,LQ84617FT,Italian electronic identity card
Gino,Protano,Gino Protano,male,1944-11-27,BO7986228K,Italian driving license card
Felice,Moretti,Felice Moretti,male,2013-09-11,MH8287582G,Italian driving license card
Itziar,Albisu,Itziar Albisu,female,2016-09-23,MJ5207943,Italian passport
Valeria,Nuzzaci,Valeria Nuzzaci,female,1996-01-18,QJ4827648Z,Italian driving license card
Ramona,Lovecchio,Ramona Lovecchio,female,1985-02-24,YY10627TZ,Italian electronic identity card
Assunta,Marzano,Assunta Marzano,female,2000-01-29,DK9273335R,Italian driving license card
Mario,Pace,Mario Pace,male,1938-03-14,TU42925GI,Italian electronic identity card
Marinella,Russo,Marinella Russo,female,1932-05-14,TA66170DX,Italian electronic identity card
Cecilia,Bozomo,Cecilia Bozomo,female,1977-08-02,LD7927865E,Italian driving license card
Mela,Traina,Mela Traina,female,1990-11-20,JY6174677N,Italian driving license card
Giorgia,Tortora,Giorgia Tortora,female,2009-04-24,JM1253994A,Italian driving license card
Daniela,Bacci,Daniela Bacci,female,1949-02-13,UG7583503,Italian passport
pasquale,Formoso,pasquale Formoso,male,1933-07-12,QY71241SG,Italian electronic identity card
Matteo,Renier,Matteo Renier,male,1958-02-11,IN5257292C,Italian driving license card
Elena,Iuorno,Elena Iuorno,female,2011-01-25,HG1929670,Italian passport
Vanessa,Fanciulli,Vanessa Fanciulli,female,1949-03-25,PI65637WC,Italian electronic identity card
Maurizio,d'Esposito,Maurizio d'Esposito,male,1951-05-17,PJ7712591,Italian passport
Annalisa,Pucciarelli,Annalisa Pucciarelli,female,2006-05-26,OD1196451Q,Italian driving license card
Ketty,Fazion,Ketty Fazion,female,1959-06-08,ZH8059543,Italian passport
Valentino,Robbio,Valentino Robbio,male,1931-10-17,AB6301000,Italian passport
Sam,Kelsall,Sam Kelsall,male,1963-10-25,CO21708NF,Italian electronic identity card
Natalya,Khomuttsova,Natalya Khomuttsova,female,2012-07-02,BD58969VI,Italian electronic identity card
Jasna,Titti,Jasna Titti,female,1982-11-09,FG50144BD,Italian electronic identity card
Alberto,Cristani,Alberto Cristani,male,2002-04-05,JH7398540F,Italian driving license card
Laura,Lopes,Laura Lopes,female,1939-04-09,CN73458SA,Italian electronic identity card
Salvatore,Pagano,Salvatore Pagano,male,2002-10-09,UD8537580E,Italian driving license card
Claudio,Vetrano,Claudio Vetrano,male,2008-08-01,QX8925494L,Italian driving license card
Manuel,Ciccone,Manuel Ciccone,male,1980-02-25,PY9188154I,Italian driving license card
Giuliana,Esposito,Giuliana Esposito,female,1945-06-08,AC2491752K,Italian driving license card
Nicol,Difonso,Nicol Difonso,female,1995-07-18,UJ4073679Z,Italian driving license card
Maurizio,Montaldo,Maurizio Montaldo,male,1961-07-11,PP7677461Z,Italian driving license card
Domenica,Pitasi,Domenica Pitasi,female,1984-07-07,TB34829SD,Italian electronic identity card
Elena,Lumi,Elena Lumi,female,1936-07-14,UW30492UN,Italian electronic identity card
Giovanni,Gammella,Giovanni Gammella,male,1965-12-23,LV7022831X,Italian driving license card
Lucci,Salvatore,Lucci Salvatore,male,1970-12-23,CE48688JF,Italian electronic identity card
Mariateresa,Iavarone,Mariateresa Iavarone,female,1980-03-19,KJ9401020G,Italian driving license card
Fiorenza,Sella,Fiorenza Sella,female,1990-12-31,HD3602183G,Italian driving license card
Antonella,Cervellera,Antonella Cervellera,female,2008-12-24,GK9350741,Italian passport
Flavia,Venuto,Flavia Venuto,female,1959-11-15,UJ5059837P,Italian driving license card
Anna,Lada,Anna Lada,female,1940-11-27,SY66710VI,Italian electronic identity card
Sandry,Milenam,Sandry Milenam,female,1969-07-05,GW5165978Q,Italian driving license card
Michele,Martino,Michele Martino,male,1964-12-13,RT2403195K,Italian driving license card
Annarita,Abbondante Nails,Annarita Abbondante Nails,female,1987-02-12,VL6637850J,Italian driving license card
Brigitta,Straffi,Brigitta Straffi,female,1999-03-22,UL3076650Z,Italian driving license card
Lauro,Cavalieri,Lauro Cavalieri,male,1953-02-21,CQ7324587,Italian passport
Antonio,Botta,Antonio Botta,male,1993-07-13,NW9685202Q,Italian driving license card
Omar,Dia,Omar Dia,male,1994-06-25,JG9074460U,Italian driving license card
Lorenza,Cristiano,Lorenza Cristiano,female,1999-11-30,OM3859533W,Italian driving license card
Eleonora,Proietti Costa,Eleonora Proietti Costa,female,1941-02-27,PA29101DJ,Italian electronic identity card
Roberto,Rossini,Roberto Rossini,male,1963-04-30,CO9627853,Italian passport
Enio,Busetti,Enio Busetti,male,2010-06-26,JF3543373,Italian passport
Luca,Miozzo,Luca Miozzo,male,2006-06-30,HO9792865,Italian passport
Ilenia,Macera,Ilenia Macera,female,2002-05-23,KX1227324X,Italian driving license card
Mohammed,Ziaul,Mohammed Ziaul,female,1995-10-26,QP2773624K,Italian driving license card
Rinaldo,Rossi,Rinaldo Rossi,male,1965-08-23,KK87161VN,Italian electronic identity card
Filippo,Turci,Filippo Turci,male,1986-06-10,HZ1959437W,Italian driving license card
Amsatou,Faye,Amsatou Faye,male,2012-02-01,KJ9464935Y,Italian driving license card
Ilaria,Cozzolino,Ilaria Cozzolino,female,1999-12-03,UC8611997Z,Italian driving license card
Sabrina,D'ospina,Sabrina D'ospina,female,1947-06-17,AI4449006N,Italian driving license card
Calogera,Lanzalaco,Calogera Lanzalaco,female,1938-09-12,HH5648515,Italian passport
Martina,Policella,Martina Policella,female,1984-06-19,IC3786566O,Italian driving license card
Domenico,Afeltra,Domenico Afeltra,male,2007-12-07,ZW77516WW,Italian electronic identity card
Alessia,Di Giannatale,Alessia Di Giannatale,female,2018-07-19,NX3032600L,Italian driving license card
Fabiana,Ricci,Fabiana Ricci,female,1970-07-12,GQ12574KP,Italian electronic identity card
Mario,Forcillo,Mario Forcillo,male,1985-09-27,MG67653RI,Italian electronic identity card
Emma,Stilo,Emma Stilo,female,1977-10-23,OR97623LL,Italian electronic identity card
Pietro,Pecoraro,Pietro Pecoraro,male,1952-03-14,JG34938GD,Italian electronic identity card
Shubash Dab,Nat,Shubash Dab Nat,male,2008-03-08,PP62202SL,Italian electronic identity card
Piscina,Uliveto,Piscina Uliveto,male,1950-02-07,JH1604729,Italian passport
Riccardo,Omiccioli,Riccardo Omiccioli,male,2012-08-21,UU55501MJ,Italian electronic identity card
Deborah,Pisoni,Deborah Pisoni,female,2005-03-07,WH72218ZU,Italian electronic identity card
Shii,Cabrera,Shii Cabrera,female,2009-08-09,VJ3158356,Italian passport
Gionatan,Libano,Gionatan Libano,male,1963-03-24,SC4730218F,Italian driving license card
Sara,Bertolini,Sara Bertolini,female,1946-10-10,RJ34555YG,Italian electronic identity card
Monica,Ricci,Monica Ricci,female,1997-09-07,SW25298AM,Italian electronic identity card
Mattia,Damioli,Mattia Damioli,male,1979-12-11,DR7059884W,Italian driving license card
Isabella,Leopardi,Isabella Leopardi,female,1980-07-17,TZ14699QU,Italian electronic identity card
Maria,Foti,Maria Foti,female,1982-05-25,CL6452960,Italian passport
Rosalba,Antognozzi,Rosalba Antognozzi,female,2003-11-15,IQ9236254S,Italian driving license card
Peppe,Matarazzo,Peppe Matarazzo,male,2000-11-29,NL9197735,Italian passport
Antonio,Iacenda,Antonio Iacenda,male,1934-04-04,MD13311ZR,Italian electronic identity card
Tatore,Lorenoo,Tatore Lorenoo,male,1953-03-17,CY9140985,Italian passport
Massimiliano,Falci,Massimiliano Falci,male,1939-08-10,KD5501390,Italian passport
Daniela,Matonte,Daniela Matonte,female,1950-09-17,SJ9850744,Italian passport
Daniela,D'alessio,Daniela D'alessio,female,1942-09-23,WZ9288438,Italian passport
Alberto,Capuano,Alberto Capuano,male,1948-06-10,UI9593239,Italian passport
Giulio,Baroni,Giulio Baroni,male,2011-06-18,GJ20859FN,Italian electronic identity card
Manolo,Cavani,Manolo Cavani,male,1934-02-20,ES1592501V,Italian driving license card
Daniela,Pagliughi,Daniela Pagliughi,female,1954-05-18,MZ4057712,Italian passport
Chiara,Emmolo,Chiara Emmolo,female,1976-12-01,IL24849QC,Italian electronic identity card
Evisa,Doda,Evisa Doda,female,1952-08-04,QZ3270030,Italian passport
Alessandro,Lattanzi,Alessandro Lattanzi,male,1932-08-08,WL6745419O,Italian driving license card
Stefania,Pardossi,Stefania Pardossi,female,1930-10-31,OO5688680,Italian passport
Francesca,D'alesio,Francesca D'alesio,female,1971-09-25,KP2035558,Italian passport
Dipika,Roshni,Dipika Roshni,female,1991-09-26,IU72537TE,Italian electronic identity card
Carmen,Iovine,Carmen Iovine,female,1938-09-17,HE8997165,Italian passport
Harouna,Sow,Harouna Sow,male,1932-09-07,FA3054357,Italian passport
Veneranda,Simone,Veneranda Simone,female,1992-07-24,HV48058BD,Italian electronic identity card
Damiano,Migliorisi,Damiano Migliorisi,male,1954-12-20,AB99031LF,Italian electronic identity card
Fabio,Carnevale,Fabio Carnevale,male,1988-03-01,HW32547DC,Italian electronic identity card
Vincenzo,Astarita,Vincenzo Astarita,male,1993-04-05,MX2796752U,Italian driving license card
Zoran-Sanja,Dimitrovi,Zoran-Sanja Dimitrovi,male,1994-02-17,WQ7574486G,Italian driving license card
Luana,Paesano,Luana Paesano,female,1999-04-05,AU6080570O,Italian driving license card
Alfredo,Ferrante,Alfredo Ferrante,male,1949-01-22,NV9902543,Italian passport
Raffaele,Porrino,Raffaele Porrino,male,1963-01-05,AG77431SP,Italian electronic identity card
Giuseppe,Lo Presti,Giuseppe Lo Presti,male,2003-06-16,WF1588211,Italian passport
Alessia,Hoxha,Alessia Hoxha,female,1983-12-15,KV19997QT,Italian electronic identity card
Gennaro,Frasca,Gennaro Frasca,male,1981-05-11,WO1060801,Italian passport
Maria,Rosales,Maria Rosales,female,1985-06-30,HO2664761,Italian passport
Giuseppe,Marrese,Giuseppe Marrese,male,1943-02-02,JO81578KC,Italian electronic identity card
Carlo,Calà Scarcione,Carlo Calà Scarcione,male,1995-07-07,GU7133664,Italian passport
Prem,Bevilacqua,Prem Bevilacqua,female,2015-06-20,FG2054868Z,Italian driving license card
Iodice Giuseppe,Brio Adua,Iodice Giuseppe Brio Adua,female,1975-05-22,OO1141593D,Italian driving license card
Tonio,Zoccheddu,Tonio Zoccheddu,male,2015-08-22,LF6223496G,Italian driving license card
Franco,D'amato,Franco D'amato,male,2009-11-09,AS7308034,Italian passport
Francesco,Reggiani,Francesco Reggiani,male,2000-04-12,VE8439311C,Italian driving license card
Andrea,Lombardo,Andrea Lombardo,male,1991-01-07,VA4375875,Italian passport
Annalisa,Sciarra,Annalisa Sciarra,female,1942-02-11,ZX10647BS,Italian electronic identity card
Rocky,Bar,Rocky Bar,male,1965-05-19,FJ2443566,Italian passport
Federica,Miniati,Federica Miniati,female,1931-08-23,TU2562154,Italian passport
Antonio,Bifulco,Antonio Bifulco,male,1947-01-13,MH9197226A,Italian driving license card
Alessia,Gie,Alessia Gie,female,2005-01-23,UO7218224C,Italian driving license card
Andreina,Iacovino,Andreina Iacovino,female,1987-01-19,CJ72943KD,Italian electronic identity card
Teresa,Manconi,Teresa Manconi,female,1979-09-10,HS9124728D,Italian driving license card
Miriam,Ciriello,Miriam Ciriello,female,1956-10-02,CJ4055098B,Italian driving license card
Liliana,Lauricella,Liliana Lauricella,female,1930-01-06,ZI2567871,Italian passport
Hagar,Taher,Hagar Taher,female,2011-06-01,CX51831BV,Italian electronic identity card
Antonio,Parillo,Antonio Parillo,male,1966-03-17,RK3888995S,Italian driving license card
Laura,Fontanella,Laura Fontanella,female,2000-09-30,SN17934KQ,Italian electronic identity card
Rosaria,Bassi,Rosaria Bassi,female,1971-01-27,GS4928104M,Italian driving license card
Alessia,D Errico,Alessia D Errico,female,2009-10-20,VX5430906,Italian passport
Rosa,Fucsia,Rosa Fucsia,female,1989-04-13,RG29243TS,Italian electronic identity card
Alessandra,Mangano,Alessandra Mangano,female,2018-06-20,WY3271992,Italian passport
Anna,Condito,Anna Condito,female,1942-12-19,ZT77808WH,Italian electronic identity card
Gabriela,Perez Pinedo,Gabriela Perez Pinedo,male,1984-09-21,EP1164257J,Italian driving license card
Vanessa,Borselli,Vanessa Borselli,female,1986-11-23,UI9616248,Italian passport
Raffaele,Lago,Raffaele Lago,male,2007-04-19,XK77644KA,Italian electronic identity card
Gian Luca,Gambini,Gian Luca Gambini,male,1936-08-27,CU4229286,Italian passport
Giulio,Fineschi,Giulio Fineschi,male,1975-05-06,BM3892797,Italian passport
Stefania,Bianchi,Stefania Bianchi,female,1977-06-16,WR6282916Q,Italian driving license card
Fabiana,Fiorino,Fabiana Fiorino,female,1966-06-08,WL5737022,Italian passport
Mattia,Conte,Mattia Conte,male,1968-01-12,TR78436TG,Italian electronic identity card
Daniele,Boaglio,Daniele Boaglio,male,1964-09-19,LI9255911,Italian passport
Tommasina,Sangiovanni,Tommasina Sangiovanni,female,1956-10-11,NC8076071,Italian passport
Xhevair,Bajramaj,Xhevair Bajramaj,female,2002-03-19,QD9143645K,Italian driving license card
Roberta,Rech,Roberta Rech,female,1950-01-22,ZB19069MD,Italian electronic identity card
Marta,Renna,Marta Renna,female,2007-10-25,QD4367972,Italian passport
Fabio,Piani,Fabio Piani,male,1995-05-22,MP7958547,Italian passport
Florencia,Peral,Florencia Peral,female,2010-12-04,UC3730533S,Italian driving license card
Ignatious,Joseph,Ignatious Joseph,male,2000-08-24,TH8525722Q,Italian driving license card
Luca,Di Gregorio,Luca Di Gregorio,male,1974-02-08,EO3034033M,Italian driving license card
Roberta,Pieramici,Roberta Pieramici,female,2008-06-09,QT7068585G,Italian driving license card
Sibilla,Di Camillo,Sibilla Di Camillo,female,2005-01-09,LJ3057744H,Italian driving license card
Francesca,Ippoliti,Francesca Ippoliti,female,1956-02-19,VT9527939O,Italian driving license card
Laurence,Beutels,Laurence Beutels,female,1996-10-25,NO39551HD,Italian electronic identity card
Stefano,Rossi,Stefano Rossi,male,2012-04-04,EG77482JM,Italian electronic identity card
Davide,Crevani,Davide Crevani,male,1956-09-06,ZC59129PR,Italian electronic identity card
